C,kernel,gamma,degree,orientation,pixels_per_cell,cell_per_block,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
581.6075180590525,rbf,0.07494117031530174,nan,7,"(12, 12)","(3, 3)",250,0.3742,0.6053,0.3741,0.3408
583.1765153687801,linear,auto,nan,6,"(12, 12)","(3, 3)",350,0.5709,0.5503,0.5709,0.5552
59.51041795969329,rbf,0.0027963417453011545,nan,10,"(24, 24)","(3, 3)",350,0.5892,0.5813,0.5892,0.5812
640.7618855804105,polynomial,2.6949089122736144e-05,3.0,8,"(16, 16)","(2, 2)",425,0.25,0.1074,0.25,0.1502
650.6658015875612,rbf,0.010107143587817046,nan,8,"(12, 12)","(3, 3)",350,0.6271,0.6421,0.6271,0.6303
676.0939184826705,rbf,0.02459158775873568,nan,6,"(12, 12)","(3, 3)",400,0.6234,0.6562,0.6234,0.6287
7.401149166743457,linear,auto,nan,7,"(16, 16)","(2, 2)",350,0.5402,0.5268,0.5402,0.5272
736.8720881270207,linear,auto,nan,10,"(12, 12)","(2, 2)",300,0.5606,0.5533,0.5606,0.55
8.67820630197134,polynomial,0.00029188260114347477,4.0,8,"(12, 12)","(2, 2)",325,0.2894,0.2348,0.2893,0.2212
91.38075798128872,rbf,0.013483311101200657,nan,7,"(16, 16)","(2, 2)",350,0.6178,0.6355,0.6178,0.6232
988.9935307697748,linear,auto,nan,8,"(12, 12)","(3, 3)",300,0.5631,0.5459,0.5631,0.5474
