fold,num_of_balancing,dropout_rate,batch_size,learning_rate,optimizer,num_conv_blocks,conv2d_filters,Epoch,Balanced Accuracy,Precision,Recall,F1 Score
1,250,0.2699098581523874,16,0.0001238216661377,rmsprop,6,"[16, 96, 160, 160, 192, 224]",62,0.9333,0.9237,0.9333,0.9276
2,250,0.2699098581523874,16,0.0001238216661377,rmsprop,6,"[16, 96, 160, 160, 192, 224]",38,0.918,0.9135,0.918,0.9113
3,250,0.2699098581523874,16,0.0001238216661377,rmsprop,6,"[16, 96, 160, 160, 192, 224]",44,0.9338,0.9165,0.9338,0.924
4,250,0.2699098581523874,16,0.0001238216661377,rmsprop,6,"[16, 96, 160, 160, 192, 224]",51,0.956,0.9331,0.956,0.943
1,475,0.3619587495413832,8,0.0003736251986367,adam,3,"[48, 112, 144, 208, 208, 240]",17,0.9013,0.9235,0.9012,0.91
2,475,0.3619587495413832,8,0.0003736251986367,adam,3,"[48, 112, 144, 208, 208, 240]",24,0.8822,0.8875,0.8822,0.882
3,475,0.3619587495413832,8,0.0003736251986367,adam,3,"[48, 112, 144, 208, 208, 240]",28,0.8753,0.8646,0.8752,0.8644
4,475,0.3619587495413832,8,0.0003736251986367,adam,3,"[48, 112, 144, 208, 208, 240]",19,0.9045,0.9,0.9044,0.9016
1,375,0.4030783894725399,32,0.0001623494305901,adam,6,"[48, 48, 208, 240, 432, 432]",50,0.9231,0.9203,0.9232,0.9209
2,375,0.4030783894725399,32,0.0001623494305901,adam,6,"[48, 48, 208, 240, 432, 432]",42,0.895,0.9286,0.895,0.9082
3,375,0.4030783894725399,32,0.0001623494305901,adam,6,"[48, 48, 208, 240, 432, 432]",50,0.9408,0.9293,0.9408,0.9347
4,375,0.4030783894725399,32,0.0001623494305901,adam,6,"[48, 48, 208, 240, 432, 432]",29,0.9186,0.9098,0.9186,0.9136
1,350,0.2449801468895839,16,0.0001348970598953,rmsprop,4,"[32, 96, 192, 256, 480, 480]",48,0.9384,0.9362,0.9384,0.9364
2,350,0.2449801468895839,16,0.0001348970598953,rmsprop,4,"[32, 96, 192, 256, 480, 480]",24,0.8681,0.888,0.8681,0.8736
3,350,0.2449801468895839,16,0.0001348970598953,rmsprop,4,"[32, 96, 192, 256, 480, 480]",36,0.9145,0.9183,0.9145,0.9146
4,350,0.2449801468895839,16,0.0001348970598953,rmsprop,4,"[32, 96, 192, 256, 480, 480]",22,0.9083,0.9054,0.9083,0.9059
1,350,0.4707267866668332,8,1.6622255850276947e-05,rmsprop,4,"[16, 96, 128, 192, 192, 352]",56,0.9014,0.8927,0.9014,0.8947
2,350,0.4707267866668332,8,1.6622255850276947e-05,rmsprop,4,"[16, 96, 128, 192, 192, 352]",64,0.8303,0.8118,0.8303,0.819
3,350,0.4707267866668332,8,1.6622255850276947e-05,rmsprop,4,"[16, 96, 128, 192, 192, 352]",57,0.8453,0.8636,0.8452,0.8431
4,350,0.4707267866668332,8,1.6622255850276947e-05,rmsprop,4,"[16, 96, 128, 192, 192, 352]",52,0.8536,0.8418,0.8536,0.8441
1,450,0.2680590876330077,16,0.0007718224858405,rmsprop,5,"[64, 128, 224, 256, 256, 512]",23,0.9329,0.9396,0.9329,0.9358
2,450,0.2680590876330077,16,0.0007718224858405,rmsprop,5,"[64, 128, 224, 256, 256, 512]",41,0.9627,0.9586,0.9627,0.9598
3,450,0.2680590876330077,16,0.0007718224858405,rmsprop,5,"[64, 128, 224, 256, 256, 512]",46,0.9833,0.9796,0.9833,0.9814
4,450,0.2680590876330077,16,0.0007718224858405,rmsprop,5,"[64, 128, 224, 256, 256, 512]",38,0.9617,0.962,0.9616,0.9612
1,500,0.3029099309396998,8,0.0005820253246293,rmsprop,6,"[48, 112, 240, 240, 432, 432]",27,0.9626,0.974,0.9626,0.9679
2,500,0.3029099309396998,8,0.0005820253246293,rmsprop,6,"[48, 112, 240, 240, 432, 432]",38,0.955,0.9588,0.955,0.9564
3,500,0.3029099309396998,8,0.0005820253246293,rmsprop,6,"[48, 112, 240, 240, 432, 432]",26,0.9756,0.9835,0.9756,0.9793
4,500,0.3029099309396998,8,0.0005820253246293,rmsprop,6,"[48, 112, 240, 240, 432, 432]",27,0.9374,0.9392,0.9374,0.937
